year,month,quarter,state,state_pcode,lga,lga_pcode,primary_hazard,total_idps,mean_idps_per_record,num_records,total_males,total_females,latest_dtm_round,date
2017,1,1,Adamawa,NGA002,Demsa,NGA002001,Conflict,3720,1860.0,2,966.0,894.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Fufore,NGA002002,Conflict,10068,5034.0,2,2394.0,2640.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Ganye,NGA002003,Conflict,868,434.0,2,203.0,231.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Girei,NGA002005,Conflict,23671,11835.5,2,1241.0,1361.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Gombi,NGA002004,Conflict,23671,11835.5,2,9858.0,11211.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Guyuk,NGA002006,Conflict,506,253.0,2,112.0,141.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Hong,NGA002007,Conflict,7704,3852.0,2,1668.0,2184.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Jada,NGA002008,Conflict,1498,749.0,2,377.0,372.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Lamurde,NGA002009,Conflict,1142,571.0,2,225.0,346.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Madagali,NGA002010,Conflict,37670,18835.0,2,9211.0,9624.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Maiha,NGA002011,Conflict,31086,15543.0,2,7428.0,8115.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Mayo-Belwa,NGA002012,Conflict,852,426.0,2,225.0,201.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Michika,NGA002013,Conflict,54342,27171.0,2,12399.0,14772.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Mubi North,NGA002014,Conflict,22248,11124.0,2,5706.0,5418.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Mubi South,NGA002015,Conflict,11528,5764.0,2,2897.0,2867.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Numan,NGA002016,Conflict,2020,1010.0,2,451.0,559.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Shelleng,NGA002017,Conflict,1820,910.0,2,402.0,508.0,14,2017-01-01
2017,1,1,Adamawa,NGA002,Song,NGA002018,Conflict,4094,2047.0,2,1041.0,1006.0,14,2017-01-01
